,,,,,,,,,,"2018 Identifications
(only includes those which were also identified in 2024 or 2025)",,,,"2019 Identifications
(only includes those which were also identified in 2024 or 2025)",,,,"2022 Identifications
(only includes those which were also identified 2024 or 2025)",,,,"2023 Identifications
(only includes those which were also identified 2024 or 2025)",,,,2024 Identifications,,,,2025 Identifications,,,,Initial Year of Identification by Type for Schools Identified in 2024,,,,2025 Exit Status for Schools Identified in 2024,Initial Proficiency Indices for Schools Identified for Achievement and Growth in 2024,,,,,,2025 Performance,,,,,,,,,,,,Initial Year of Identification by Type for Schools Identified in 2025,,
District Code,District Name,School Code,School Name,Grade Span,Group,GroupCode,Identified Since,Min Enrolled Grade,Max Enrolled Grade,Identified,Achievement & Growth,Graduation,Overall Low Performance,Identified,Achievement & Growth,Graduation,Overall Low Performance,Identified,Achievement & Growth,Graduation,Overall Low Performance,Identified,Achievement & Growth,Graduation,Overall Low Performance,Identified,Achievement & Growth,Graduation,Overall Low Performance,Identified,Achievement & Growth,Graduation,Overall Low Performance,ATSI - Any Reason,Achievement & Growth,Graduation,Overall Low Performance,,Initial ELA Proficiency Index,Initial ELA Achievement Points,Initial Math Proficiency Index,Initial Math Achievement Points,Initial Science Proficiency Index,Initial Science Proficiency Points,# Students ELA Achievement,ELA Proficiency Index,# Students Math Achievement,Math Proficiency Index,# Students Science Proficiency,Science Proficiency Index,ELA Growth Denominator,ELA Growth Index,Math Growth Denominator,Math Growth Index,Graduation Base Rate Denominator,Graduation Base (4-Year) Rate,Achievement & Growth,Graduation,Overall Low Performance
04,Central Falls,04108,Central Falls Senior High School,H,Students with Disabilities,IEP,2018,9,12,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2018,2018,2018,2023,No,8,1,4,1,,,48,1,48,1,49,17,32,0.44,33,0.61,44,52%,2018,2018,2023
07,Cranston,07113,Cranston High School East,H,Students with Disabilities,IEP,2018,9,12,Y,Y,,Y,Y,Y,,,Y,Y,,,Y,Y,Y,,Y,Y,,,Y,Y,Y,,2018,2018,,,No,15,1,12,1,,,106,17,106,9,105,29,88,0.74,88,0.59,59,66%,2018,2025,
07,Cranston,07124,George J. Peters School,E,Students with Disabilities,IEP,2018,0,5,Y,Y,,,Y,Y,,,Y,Y,,,Y,Y,,Y,Y,Y,,,Y,Y,,,2018,2018,,,No,18,1,8,1,,,50,20,50,16,13,21,26,0.69,26,0.50,,,2018,,
07,Cranston,07135,Apprenticeship Exploration School,H,Economically Disadvantaged,FRL,2018,9,12,Y,Y,,Y,Y,Y,,,Y,Y,,,Y,Y,,,Y,Y,,,Y,Y,,,2018,2018,,,No,28,1,14,1,,,63,22,63,9,57,28,58,0.55,59,0.58,40,85%,2018,,
16,Johnston,16109,Winsor Hill School,E,Students with Disabilities,IEP,2018,1,5,Y,Y,,,Y,Y,,,Y,Y,,,Y,Y,,,Y,Y,,,Y,Y,,,2018,2018,,,No,16,1,14,1,,,68,16,68,15,19,21,41,0.54,41,0.68,,,2018,,
21,Newport,21107,Claiborne Pell Elementary School,E,Students with Disabilities,IEP,2018,-1,4,Y,Y,,Y,Y,Y,,,Y,Y,,,Y,Y,,,Y,Y,,,Y,Y,,,2018,2018,,,No,16,1,13,1,,,151,18,149,21,72,13,72,0.78,73,0.63,,,2018,,
21,Newport,21111,Rogers High School,H,English Learners,LEP,2018,9,12,Y,,Y,,Y,Y,Y,,Y,Y,,Y,Y,Y,,Y,Y,Y,,,Y,Y,,Y,2018,2019,,,No,9,1,11,1,,,41,3,41,3,41,28,34,0.50,39,0.46,30,80%,2019,,2025
26,Pawtucket,26105,William E Tolman Senior High School,H,Students with Disabilities,IEP,2018,9,12,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,2018,2018,2022,2018,No,3,1,2,1,,,87,4,87,3,86,15,68,0.63,67,0.49,66,73%,2018,,2018
26,Pawtucket,26106,Samuel Slater Middle School,M,Black or African American,BL7,2018,6,8,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,2018,2018,,2018,No,19,1,23,1,,,474,18,470,21,167,21,440,0.73,448,0.68,,,2018,,2018
26,Pawtucket,26106,Samuel Slater Middle School,M,Economically Disadvantaged,FRL,2018,6,8,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,2018,2018,,2018,No,20,1,25,1,,,863,17,858,20,289,22,806,0.70,832,0.65,,,2018,,2018
26,Pawtucket,26106,Samuel Slater Middle School,M,Hispanic,HI7,2018,6,8,Y,,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,2018,2019,,2018,No,24,1,25,1,,,332,17,329,18,117,22,297,0.70,318,0.65,,,2019,,2018
26,Pawtucket,26106,Samuel Slater Middle School,M,Students with Disabilities,IEP,2018,6,8,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,2018,2018,,2018,No,2,1,5,1,,,201,3,198,5,65,9,185,0.67,181,0.70,,,2018,,2018
26,Pawtucket,26106,Samuel Slater Middle School,M,English Learners,LEP,2018,6,8,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,,Y,Y,,,2018,2018,,,No,10,1,15,1,,,351,9,348,14,113,11,306,0.76,340,0.70,,,2018,,
26,Pawtucket,26106,Samuel Slater Middle School,M,Two or More Races,MU7,2018,6,8,Y,,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,,,Y,Y,Y,,Y,2018,,,2018,No,,,,,,,60,16,60,23,23,22,58,0.66,58,0.69,,,2025,,2018
26,Pawtucket,26106,Samuel Slater Middle School,M,White,WH7,2018,6,8,Y,,,Y,Y,,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,2018,2022,,2018,No,21,1,17,1,,,190,20,190,22,57,20,187,0.70,189,0.77,,,2022,,2018
26,Pawtucket,26113,Fallon Memorial School,E,Students with Disabilities,IEP,2018,-1,5,Y,Y,,,Y,Y,,,Y,Y,,,Y,Y,,,Y,Y,,,Y,Y,,,2018,2018,,,No,15,1,11,1,,,87,10,87,17,31,10,56,0.57,56,0.63,,,2018,,
26,Pawtucket,26118,Charles E. Shea High School,H,Students with Disabilities,IEP,2018,9,12,Y,,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,,Y,Y,Y,Y,Y,2018,2019,,2024,No,2,1,2,1,,,69,9,69,5,69,18,48,0.50,48,0.25,27,63%,2019,2025,2024
26,Pawtucket,26121,M. Virginia Cunningham School,E,Students with Disabilities,IEP,2018,0,5,Y,Y,,,Y,Y,,,Y,Y,,,Y,Y,,Y,Y,Y,,,Y,Y,,,2018,2018,,,No,11,1,5,1,,,62,8,61,9,24,6,43,0.65,43,0.72,,,2018,,
28,Providence,28113,Dr. Jorge Alvarez High School,H,Students with Disabilities,IEP,2018,9,12,Y,,Y,,Y,,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,2018,2023,2018,2022,No,9,1,7,1,16,1,24,10,24,0,24,17,21,0.52,21,0.38,28,71%,2023,,2022
28,Providence,28139,Central High School,H,Students with Disabilities,IEP,2018,9,12,Y,Y,Y,,Y,Y,Y,,Y,Y,,,Y,Y,,,Y,Y,,,Y,Y,,,2018,2018,,,No,3,1,3,1,,,47,4,47,0,46,11,31,0.71,30,0.43,44,75%,2018,,
28,Providence,28139,Central High School,H,English Learners,LEP,2018,9,12,Y,,Y,,Y,Y,Y,,Y,Y,,,Y,Y,,,Y,Y,,Y,Y,Y,,,2018,2019,,2024,No,6,1,7,1,,,252,5,252,2,247,20,198,0.63,198,0.65,111,77%,2019,,
28,Providence,28143,Nathan Bishop Middle School,M,Students with Disabilities,IEP,2018,6,8,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,2018,2018,,2018,No,10,1,7,1,,,279,11,278,10,91,16,240,0.66,241,0.65,,,2018,,2018
28,Providence,28147,Roger Williams Middle School,M,Students with Disabilities,IEP,2018,6,8,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,2018,2018,,2018,No,4,1,3,1,,,232,2,225,5,69,3,202,0.45,190,0.71,,,2018,,2018
28,Providence,28149,Hope High School,H,Students with Disabilities,IEP,2018,9,12,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,2018,2018,2024,2024,No,4,1,2,1,,,62,10,62,6,63,23,39,0.54,38,0.66,45,24%,2018,2024,2024
28,Providence,28149,Hope High School,H,English Learners,LEP,2018,9,12,Y,Y,,,Y,Y,,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,2018,2023,2022,,No,11,1,7,1,23,1,162,7,162,3,158,26,101,0.81,112,0.63,92,66%,2023,2022,2025
