,,,,,,,,"2018 Identifications
(only includes those which were also identified in 2024 or 2025)",,,,"2019 Identifications
(only includes those which were also identified in 2024 or 2025)",,,,"2022 Identifications
(only includes those which were also identified 2024 or 2025)",,,,"2023 Identifications
(only includes those which were also identified 2024 or 2025)",,,,2024 Identifications,,,,2025 Identifications,,,,Initial Year of Identification by Type for Schools Identified in 2024,,,,2025 Exit Status for Schools Identified in 2024,Initial Proficiency Indices for Schools Identified for Achievement and Growth in 2024,,,,,,2025 Performance,,,,,,,,,,,,Initial Year of Identification by Type for Schools Identified in 2025,,
District Code,District Name,School Code,School Name,Grade Span,Identified Since,Min Enrolled Grade,Max Enrolled Grade,Identified,Achievement & Growth,Graduation,Overall Low Performance,Identified,Achievement & Growth,Graduation,Overall Low Performance,Identified,Achievement & Growth,Graduation,Overall Low Performance,Identified,Achievement & Growth,Graduation,Overall Low Performance,Identified,Achievement & Growth,Graduation,Overall Low Performance,Identified,Achievement & Growth,Graduation,Overall Low Performance,CSI - Any Reason,Achievement & Growth,Graduation,Overall Low Performance,,Initial ELA Proficiency Index,Initial ELA Achievement Points,Initial Math Proficiency Index,Initial Math Achievement Points,Initial Science Proficiency Index,Initial Science Proficiency Points,# Students ELA Achievement,ELA Proficiency Index,# Students Math Achievement,Math Proficiency Index,# Students Science Proficiency,Science Proficiency Index,ELA Growth Denominator,ELA Growth Index,Math Growth Denominator,Math Growth Index,Graduation Base Rate Denominator,Graduation Base (4-Year) Rate,Achievement & Growth,Graduation,Overall Low Performance
26,Pawtucket,26106,Samuel Slater Middle School,M,2018,6,8,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,2018,2018,,2018,No,22,1,26,1,,,1074,18,1067,20,368,21,1000,0.71,1031,0.68,,,2018,,2018
28,Providence,28113,Dr. Jorge Alvarez High School,H,2018,9,12,Y,,Y,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,,,Y,2018,,2018,,No,,,,,,,201,20,201,4,202,22,162,0.84,186,0.63,159,75%,,,2025
28,Providence,28150,Mount Pleasant High School,H,2018,9,12,Y,Y,Y,,Y,Y,,,Y,Y,,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,2018,2018,2024,2024,No,15,1,9,1,,,475,19,475,7,474,25,365,0.78,362,0.77,284,71%,2018,2024,2024
28,Providence,28182,Governor Christopher DelSesto Middle School,M,2018,6,8,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,,Y,,,Y,Y,Y,,Y,2018,,,2024,No,,,,,,,1338,15,1328,14,504,18,1159,0.77,1211,0.69,,,2025,,2024
42,Sheila Skip Nowell Leadership Academy,28610,Sheila Skip Nowell Leadership Academy,H,2018,9,12,Y,,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,2018,2019,2018,2024,No,5,1,2,1,,,62,12,62,4,56,23,27,0.63,28,0.68,62,31%,2019,2018,2024
98,Chariho,98108,Chariho Alternative Learning Academy,S,2018,0,12,Y,,Y,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,Y,,Y,2018,,2018,,No,,,,,,,61,23,61,11,38,26,49,0.71,50,0.58,24,79%,2025,,2025
28,Providence,28139,Central High School,H,2019,9,12,,,,,Y,,,Y,Y,Y,,,Y,Y,,,Y,Y,,,Y,Y,,,2019,2022,,,No,18,1,11,1,,,488,20,488,8,480,25,375,0.77,371,0.77,271,82%,2022,,
28,Providence,28137,Esek Hopkins Middle School,M,2022,6,8,,,,,,,,,Y,Y,,,Y,Y,,,Y,Y,,Y,Y,Y,,Y,2022,2022,,2024,No,18,1,15,1,,,703,13,699,12,239,18,585,0.66,606,0.60,,,2022,,2024
28,Providence,28147,Roger Williams Middle School,M,2022,6,8,Y,Y,,Y,,,,,Y,,,Y,Y,,,Y,Y,Y,,Y,Y,Y,,Y,2022,2024,,2022,No,17,1,16,1,15,1,1267,19,1255,17,399,17,1099,0.78,1144,0.74,,,2024,,2022
26,Pawtucket,26103,Joseph Jenks Middle School,M,2024,6,8,,,,,Y,,,Y,,,,,,,,,Y,Y,,Y,Y,Y,,Y,2024,2024,,2024,No,25,1,23,1,24,1,1192,24,1187,23,403,21,1082,0.73,1099,0.63,,,2024,,2024
26,Pawtucket,26105,William E Tolman Senior High School,H,2024,9,12,,,,,,,,,,,,,,,,,Y,,,Y,Y,Y,,Y,2024,,,2024,No,,,,,,,504,27,504,10,498,27,407,0.74,414,0.63,295,72%,2025,,2024
26,Pawtucket,26107,Lyman B. Goff Middle School,M,2024,6,8,Y,,,Y,,,,,,,,,,,,,Y,,,Y,Y,,,Y,2024,,,2024,No,,,,,,,1203,36,1199,34,392,43,1135,0.91,1149,0.79,,,,,2024
26,Pawtucket,26118,Charles E. Shea High School,H,2024,9,12,Y,Y,,,Y,Y,,,,,,,,,,,Y,Y,,Y,Y,Y,,Y,2024,2024,,2024,No,24,1,12,1,29,1,382,25,382,12,382,30,320,0.73,322,0.71,214,73%,2024,,2024
28,Providence,28127,Webster Avenue School,E,2024,0,5,,,,,,,,,,,,,,,,,Y,Y,,,Y,Y,,,2024,2024,,,No,23,1,24,1,21,1,301,26,301,27,106,21,195,0.74,202,0.74,,,2024,,
28,Providence,28149,Hope High School,H,2024,9,12,Y,Y,Y,,Y,Y,Y,,,,,,,,,,Y,,Y,,Y,,Y,,2024,,2024,,No,,,,,,,356,25,356,11,350,36,241,0.93,249,0.87,214,64%,,2024,
28,Providence,28199,Aventure Academy,H,2024,9,12,,,,,,,,,,,,,,,,,Y,Y,,,Y,Y,,,2024,2024,,,No,0,1,0,1,2,1,103,3,103,1,90,4,10,0.50,10,0.30,127,69%,2024,,
39,Woonsocket,39101,Harris School,E,2024,0,5,Y,Y,,,,,,,,,,,,,,,Y,Y,,,Y,Y,,,2024,2024,,,No,23,1,24,1,25,1,376,24,371,23,127,26,241,0.72,240,0.78,,,2024,,
39,Woonsocket,39128,Kevin K. Coleman Elementary School,E,2024,0,5,,,,,Y,,,Y,,,,,,,,,Y,Y,,,Y,Y,,,2024,2024,,,No,21,1,19,1,23,1,247,19,246,20,85,19,147,0.74,154,0.81,,,2024,,
39,Woonsocket,39131,Woonsocket Middle School at Hamlet,M,2024,6,8,,,,,,,,,,,,,,,,,Y,Y,,,Y,Y,,,2024,2024,,,No,21,1,20,1,24,1,1021,20,1017,21,344,25,944,0.71,931,0.76,,,2024,,
39,Woonsocket,39133,Pothier-Citizens Elementary Campus,E,2024,-1,5,,,,,,,,,,,,,,,,,Y,Y,,,Y,Y,,,2024,2024,,,No,21,1,23,1,20,1,567,22,566,21,196,23,372,0.84,377,0.76,,,2024,,
58,Beacon Charter School,39603,Founders Academy,M,2024,6,8,,,,,,,,,,,,,,,,,Y,,,Y,Y,,,Y,2024,,,2024,No,,,,,,,292,24,292,20,99,35,281,0.70,281,0.63,,,,,2024
85,YouthBuild Preparatory Academy,85701,YouthBuild Preparatory Academy School,H,2024,9,12,,,,,,,,,,,,,,,,,Y,Y,Y,,Y,Y,Y,,2024,2024,2024,,No,5,1,1,1,8,1,59,6,59,1,61,9,19,0.74,19,0.32,63,44%,2024,2024,
