DISTCODE,DistName,grade_span,Group,group_type,GroupCode,SType,enr_grade_min,enr_grade_max,num_students_ach_ela,participation_rate_ela,pct_prof_ela,proficiency_index_ela,ela_ach_pts,pct_exceeds_ela,ela_exceeds_pts,num_students_ach_mat,participation_rate_mat,pct_prof_mat,proficiency_index_mat,mat_ach_pts,pct_exceeds_mat,mat_exceeds_pts,num_students_sci,participation_rate_sci,pct_prof_sci,proficiency_index_sci,sci_ach_pts,denom_growth_ela,growth_index_ela,ela_growth_pts,denom_growth_mat,growth_index_mat,mat_growth_pts,num_students_elp,participation_rate_elp,elp_met_target_pct,elp_index,elp_pts,grad_ind_code,years_incl_grad_base,grad_comp_denom,grad_comp_rate,grad_base_denom,grad_base_rate,grad_pts,diploma_plus_denom,commissioners_seal_pct,commissioners_seal_pts,postsecondary_success_index,postsecondary_success_pts,adm_student_abs,student_ca_pct,student_chronic_abs_pts,n_teachers,teacher_ca_denom,teacher_ca_pct,teacher_chronic_abs_pts,adm_oss,years_incl_oss,oss_rate,suspension_pts,subgroups_level1,participation_LT_95pct,ach_available,ach_ela_mat_sci_pts_tot,growth_pts_tot,dp_pts_tot,sqss_available,sqss_pts_tot,ach_perf_cat,growth_perf_cat,elp_perf_cat,grad_perf_cat,DP_perf_cat,SQSS_perf_cat
x,District,Grade Span,Group,Group Type,Group Code,Nonstandard Grade Span Type,Min Enrolled Grade,Max Enrolled Grade,Num Students ELA Ach.,ELA Participation Rate,ELA % Prof.,ELA Prof. Index,ELA Ach. Points (out of 4),ELA % Exceeds,ELA Exceeds Points (out of 3),Num Students Math Ach.,Math Participation Rate,Math % Prof.,Math Prof. Index,Math Ach. Points (out of 4),Math % Exceeds,Math Exceeds Points (out of 3),Num Students Science,Science Participation Rate,Science % Prof.,Science Prof. Index,Science Points (out of 3),Growth Denom ELA,ELA Growth Index,ELA Growth Points (out of 3),Growth Denom Math,Math Growth Index,Math Growth Points (out of 3),Num Students ELP Measure,ELP Participation Rate,ELP % Met Target,ELP Index,ELP Points (out of 3),Type of Grad Rate Indicator,Years Incl. in Base Grad Rate,Composite Grad Denom,Composite Grad Rate,Base Grad Denom,Base Grad Rate,Graduation Points (out of 5),Diploma Plus Denom,% Commissioner's Seal,Commissioner's Seal Points (out of 3),Postsecondary Success Index,Postsecondary Success Points (out of 3),Student Chronic  Abs Denom,% Student Chronic Abs,Student Chronic Abs Points (out of 3),Total Teachers,Teacher Chronic  Abs Denom,% Teacher Chronic Abs,Teacher Chronic Abs Points (out of 3),Suspension Denom,Years Incl. in Suspension Rate,OSS Suspension Rate,Suspension Points (out of 3),Low Performing Subgroups,"ELA, Math, or Science Participation Rate < 95%",Achievement Measures Available,Ach. Points Tot,Growth Points Tot,Diploma Plus Points Tot,SQSS Measures Available,SQSS Points Tot,Achievement Performance Category,Growth Performance Category,ELP Performance Category,Graduation Performance Category,Diploma Plus Performance Category,SQSS Performance Category
01,Barrington,S,All Students,,All,K12,-1,12,3485,99%,70,78,3,23.2,3,3484,99%,62,73,3,13.6,3,1539,99%,65,75,3,2875,1.24,3,2887,1.16,3,101,99%,74%,0.93,3,1,1,799,97%,275,95%,5,271,79,3,100,3,3227,7.1,3,209,202,2.2,3,3258,1,0.2,3,0,,3,9,6,6,5,15,Strong,Strong,Strong,Strong,Strong,Strong
01,Barrington,S,American Indian or Alaska Native,2Race/Ethnicity,AM7,K12,-1,12,1,,,,,,,1,,,,,,,1,,,,,1,,,1,,,0,,,,,1,,1,,1,,,1,,,,,2,,,209,,,,6,3,,,,,0,,,,0,,,,,,,
01,Barrington,S,Asian,2Race/Ethnicity,AS7,K12,-1,12,279,99%,79,85,4,36.1,3,279,99%,83,88,4,36.2,3,127,98%,81,87,3,223,1.28,3,225,1.28,3,45,100%,71%,0.93,3,1,2,52,96%,38,95%,5,37,81,3,108,3,270,4.5,3,209,18,1.9,3,271,1,0.0,3,,,3,11,6,6,5,15,,,,,,
01,Barrington,S,Black or African American,2Race/Ethnicity,BL7,K12,-1,12,61,98%,38,53,2,11.7,3,61,98%,33,51,2,5.0,2,27,100%,33,51,2,54,1.07,2,54,1.15,3,0,,,,,1,3,12,83%,12,83%,,8,,,,,55,5.5,3,209,4,4.3,3,55,1,1.8,3,,,3,6,5,,5,14,,,,,,
01,Barrington,S,Hispanic,2Race/Ethnicity,HI7,K12,-1,12,221,100%,58,69,3,16.8,3,221,100%,50,63,2,8.6,2,106,98%,61,70,3,175,1.30,3,179,1.21,3,26,100%,77%,0.93,3,1,1,38,95%,20,90%,4,32,72,2,100,3,230,8.3,3,209,15,2.3,3,234,1,0.4,3,,,3,8,6,5,5,14,,,,,,
01,Barrington,S,Two or More Races,2Race/Ethnicity,MU7,K12,-1,12,218,100%,71,78,3,30.3,3,218,100%,71,79,3,24.3,3,106,100%,75,81,3,186,1.32,3,187,1.19,3,4,,,,,1,3,28,100%,28,96%,5,18,78,,105,,223,11.6,3,209,14,2.0,3,226,1,0.0,3,,,3,9,6,,5,15,,,,,,
01,Barrington,S,Native Hawaiian or Other Pacific Islander,2Race/Ethnicity,PI7,K12,-1,12,1,,,,,,,1,,,,,,,0,,,,,0,,,0,,,0,,,,,1,,0,,0,,,0,,,,,0,,,209,,,,1,3,,,,,0,,,,0,,,,,,,
01,Barrington,S,White,2Race/Ethnicity,WH7,K12,-1,12,2704,99%,71,79,3,22.1,3,2703,100%,61,72,3,11.0,3,1172,99%,63,74,3,2236,1.23,3,2241,1.14,3,26,100%,81%,0.95,3,1,1,668,97%,228,96%,5,227,79,3,100,3,2447,6.9,3,209,150,2.2,3,2470,1,0.2,3,,,3,9,6,6,5,15,,,,,,
01,Barrington,S,Economically Disadvantaged,3Program Status,FRL,K12,-1,12,334,98%,41,55,2,8.9,2,334,98%,36,52,2,4.9,2,158,99%,43,56,2,276,1.11,3,278,1.17,3,24,96%,70%,0.92,3,1,1,59,93%,26,92%,4,26,50,2,69,2,470,16.6,2,209,32,2.0,3,477,1,1.3,3,,,3,6,6,4,5,12,,,,,,
