DISTCODE,DistName,grade_span,Group,GroupCode,lps_reason,num_students_ach_ela,participation_rate_ela,pct_prof_ela,proficiency_index_ela,ela_ach_pts,num_students_ach_mat,participation_rate_mat,pct_prof_mat,proficiency_index_mat,mat_ach_pts,num_students_sci,participation_rate_sci,pct_prof_sci,proficiency_index_sci,sci_ach_pts,denom_growth_ela,growth_index_ela,ela_growth_pts,denom_growth_mat,growth_index_mat,mat_growth_pts,years_incl_grad_base,grad_base_denom,grad_base_rate,grad_pts
District Code,District,Grade Span,Group,Group Code,Reason for Low Performance,Num Students ELA Ach.,ELA Participation Rate,ELA % Prof.,ELA Prof. Index,ELA Ach. Points (out of 4),Num Students Math,Math Participation Rate,Math % Prof.,Math Prof. Index,Math Ach. Points (out of 4),Num Students Science,Science Participation Rate,Science % Prof.,Science Prof. Index,Science Points (out of 3),Growth Denom ELA,ELA Growth Index,ELA Growth Points (out of 3),Growth Denom Math,Math Growth Index,Math Growth Points (out of 3),Years Incl. in Base Grad Rate,Base Grad Denom,Base Grad Rate,Graduation Points (out of 5)
03,Burrillville,S,Students with Disabilities,IEP,Graduation,462,98%,6,18,1,461,98%,8,22,1,177,95%,6,21,1,336,0.88,2,340,0.87,2,1,27,59%,1
03,Burrillville,S,English Learners,LEP,Achievement,21,100%,5,19,1,21,100%,5,22,1,11,100%,9,24,,17,0.82,,18,0.72,,,2,,
04,Central Falls,S,American Indian or Alaska Native,AM7,Graduation,229,97%,5,19,1,227,98%,8,24,1,81,98%,4,20,1,160,0.86,2,178,0.92,2,2,43,49%,1
04,Central Falls,S,Economically Disadvantaged,FRL,Graduation,2091,99%,8,20,1,2084,98%,7,21,1,930,98%,8,24,1,1549,0.84,1,1686,0.92,2,1,204,59%,1
04,Central Falls,S,Hispanic,HI7,Graduation,977,99%,9,21,1,973,98%,8,23,1,470,98%,10,27,1,744,0.89,2,802,0.95,2,1,108,54%,1
04,Central Falls,S,Students with Disabilities,IEP,Graduation,430,97%,1,5,1,428,98%,2,8,1,167,96%,1,10,1,295,0.65,1,298,0.85,2,1,47,49%,1
04,Central Falls,S,English Learners,LEP,Graduation,1231,99%,4,14,1,1226,99%,7,20,1,544,98%,5,21,1,864,0.83,1,1010,0.91,2,1,107,64%,1
04,Central Falls,S,Two or More Races,MU7,"Achievement & Growth, Graduation",79,99%,10,25,1,79,99%,6,21,1,25,100%,8,24,1,50,0.82,1,58,0.83,1,3,21,52%,1
04,Central Falls,S,White,WH7,Graduation,522,99%,7,18,1,521,99%,6,19,1,224,98%,7,22,1,378,0.83,1,418,0.88,2,1,49,61%,1
06,Coventry,S,Economically Disadvantaged,FRL,Graduation,1399,98%,28,43,2,1396,98%,26,42,2,570,97%,30,46,2,1102,0.91,2,1105,0.90,2,1,113,66%,1
06,Coventry,S,Students with Disabilities,IEP,Graduation,721,97%,7,18,1,720,98%,10,23,1,293,96%,11,26,1,533,0.78,1,537,0.86,2,1,56,57%,1
08,Cumberland,S,Students with Disabilities,IEP,Graduation,815,98%,14,27,1,815,98%,17,32,1,331,95%,19,35,1,558,1.01,2,567,0.97,2,1,36,67%,1
10,East Providence,S,Students with Disabilities,IEP,"Achievement & Growth, Graduation",970,98%,4,13,1,968,97%,5,16,1,393,96%,6,18,1,709,0.72,1,703,0.78,1,1,80,61%,1
16,Johnston,S,Students with Disabilities,IEP,Graduation,647,96%,7,18,1,645,97%,5,17,1,277,94%,6,20,1,450,0.88,2,446,0.80,1,1,35,51%,1
17,Lincoln,S,Students with Disabilities,IEP,Achievement & Growth,596,95%,8,19,1,595,94%,10,22,1,231,90%,9,25,1,416,0.84,1,414,0.81,1,1,42,79%,2
