DISTCODE,DistName,schcode,name,grade_span,Group,group_type,GroupCode,SType,PK2_school,enr_grade_min,enr_grade_max,num_students_ach_ela,participation_rate_ela,pct_prof_ela,proficiency_index_ela,ela_ach_pts,pct_exceeds_ela,ela_exceeds_pts,num_students_ach_mat,participation_rate_mat,pct_prof_mat,proficiency_index_mat,mat_ach_pts,pct_exceeds_mat,mat_exceeds_pts,num_students_sci,participation_rate_sci,pct_prof_sci,proficiency_index_sci,sci_ach_pts,denom_growth_ela,growth_index_ela,ela_growth_pts,denom_growth_mat,growth_index_mat,mat_growth_pts,num_students_elp,participation_rate_elp,elp_met_target_pct,elp_index,elp_pts,grad_ind_code,years_incl_grad_base,grad_comp_denom,grad_comp_rate,grad_base_denom,grad_base_rate,grad_pts,diploma_plus_denom,commissioners_seal_pct,commissioners_seal_pts,postsecondary_success_index,postsecondary_success_pts,adm_student_abs,student_ca_pct,student_chronic_abs_pts,n_teachers,teacher_ca_denom,teacher_ca_pct,teacher_chronic_abs_pts,adm_oss,years_incl_oss,oss_rate,suspension_pts,subgroups_level1,ach_available,ach_ela_mat_sci_pts_tot,growth_pts_tot,dp_pts_tot,sqss_available,sqss_pts_tot,ach_growth_sci_stars_max,elp_stars_max,grad_stars_max,dp_stars_max,sqss_stars_max,TSI_stars_max,participation_LT_95pct,OverallStarRating.18,StarReason.18,OverallStarRating.19,StarReason.19,OverallStarRating.22,StarReason.22,OverallStarRating.23,StarReason.23,OverallStarRating.24,StarReason.24,overall_star_level,StarReason,diff_stars_2425
District Code,District,School Code,School,Grade Span,Group,Group Type,Group Code,Nonstandard Grade Span Type,PK2 School,Min Enrolled Grade,Max Enrolled Grade,Num Students ELA Ach.,ELA Participation Rate,ELA % Prof.,ELA Prof. Index,ELA Ach. Points (out of 4),ELA % Exceeds,ELA Exceeds Points (out of 3),Num Students Math Ach.,Math Participation Rate,Math % Prof.,Math Prof. Index,Math Ach. Points (out of 4),Math % Exceeds,Math Exceeds Points (out of 3),Num Students Science,Science Participation Rate,Science % Prof.,Science Prof. Index,Science Points (out of 3),Growth Denom ELA,ELA Growth Index,ELA Growth Points (out of 3),Growth Denom Math,Math Growth Index,Math Growth Points (out of 3),Num Students ELP Measure,ELP Participation Rate,ELP % Met Target,ELP Index,ELP Points (out of 3),Type of Grad Rate Indicator,Years Incl. in Base Grad Rate,Composite Grad Denom,Composite Grad Rate,Base Grad Denom,Base Grad Rate,Graduation Points (out of 5),Diploma Plus Denom,% Commissioner's Seal,Commissioner's Seal Points (out of 3),Postsecondary Success Index,Postsecondary Success Points (out of 3),Student Chronic  Abs Denom,% Student Chronic Abs,Student Chronic Abs Points (out of 3),Total Teachers,Teacher Chronic  Abs Denom,% Teacher Chronic Abs,Teacher Chronic Abs Points (out of 3),Suspension Denom,Years Incl. in Suspension Rate,OSS Suspension Rate,Suspension Points (out of 3),Subgroups at 1-Star Level,Achievement Measures Available,Ach. Points Tot,Growth Points Tot,Diploma Plus Points Tot,SQSS Measures Available,SQSS Points Tot,Achievement Growth Star Level,ELP Star Level,Graduation Star Level,Diploma Plus Star Level,SQSS Star Level,TSI Star Level,"ELA, Math, or Science Participation Rate < 95%",2018 Star Rating,2018 Star Reason,2019 Star Rating,2019 Star Reason,2022 Star Rating,2022 Star Reason,2023 Star Rating,2023 Star Reason,2024 Star Rating,2024 Star Reason,2025 Star Rating,2025 Star Reason,Difference 2024 to 2025
01,Barrington,01103,Primrose Hill School,E,All Students,,All,,,-1,3,162,99%,65,76,3,13.0,3,162,99%,52,64,2,10.0,3,73,,56,67,2,,,,,,,14,100%,79%,1.04,,,,,,,,,,,,,,271,5.2,3,19,19.0,5.3,,302,1,0.3,3,0,3,7,,,4,12,4,,,,5,5,,5,Achievement,5,Achievement,5,Achievement,4,Achievement,4,Achievement,4,Achievement,0
01,Barrington,01103,Primrose Hill School,E,American Indian or Alaska Native,2Race/Ethnicity,AM7,,,-1,3,0,,,,,,,0,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,19,,,,1,3,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,
01,Barrington,01103,Primrose Hill School,E,Asian,2Race/Ethnicity,AS7,,,-1,3,14,100%,57,71,,14.3,,14,100%,71,81,,21.4,,4,,,,,,,,,,,9,,,,,,,,,,,,,,,,,25,0.0,3,19,1.8,5.1,,27,1,0.0,3,,0,,,,2,6,,,,,5,,,,,,,,,,,,,,,
01,Barrington,01103,Primrose Hill School,E,Black or African American,2Race/Ethnicity,BL7,,,-1,3,3,,,,,,,3,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,7,,,19,,,,18,3,5.5,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,
01,Barrington,01103,Primrose Hill School,E,Hispanic,2Race/Ethnicity,HI7,,,-1,3,13,100%,77,85,,15.4,,13,92%,54,64,,16.7,,7,,,,,,,,,,,2,,,,,,,,,,,,,,,,,23,4.3,3,19,1.7,5.1,,27,1,0.0,3,,0,,,,2,6,,,,,5,,1,,,,,,,,,,,,,
01,Barrington,01103,Primrose Hill School,E,Two or More Races,2Race/Ethnicity,MU7,,,-1,3,5,,,,,,,5,,,,,,,6,,,,,,,,,,,0,,,,,,,,,,,,,,,,,24,25.3,2,19,1.7,5.3,,27,1,0.0,3,,0,,,,2,5,,,,,5,,,,,,,,,,,,,,,
01,Barrington,01103,Primrose Hill School,E,Native Hawaiian or Other Pacific Islander,2Race/Ethnicity,PI7,,,-1,3,0,,,,,,,0,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,19,,,,0,3,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,
01,Barrington,01103,Primrose Hill School,E,White,2Race/Ethnicity,WH7,,,-1,3,127,99%,67,78,3,12.7,3,127,99%,51,64,2,7.9,2,55,,58,68,3,,,,,,,3,,,,,,,,,,,,,,,,,192,2.6,3,19,13.3,5.3,,215,1,0.0,3,,3,8,,,4,11,4,,,,5,,,5,Achievement,5,Achievement,5,Achievement,3,Achievement,4,Achievement,4,Achievement,0
01,Barrington,01103,Primrose Hill School,E,Economically Disadvantaged,3Program Status,FRL,,,-1,3,20,100%,40,57,2,10.0,3,20,95%,21,39,1,0.0,1,9,,,,,,,,,,,1,,,,,,,,,,,,,,,,,51,15.8,2,19,4.0,4.9,,58,1,1.7,3,,2,,,,4,9,2,,,,4,,,,,,,,,,,,,2,Achievement,
01,Barrington,01103,Primrose Hill School,E,Students with Disabilities,3Program Status,IEP,,,-1,3,13,92%,23,44,,0.0,,13,92%,0,13,,0.0,,12,,17,31,,,,,,,,2,,,,,,,,,,,,,,,,,40,12.6,3,19,3.2,4.6,,53,1,1.9,3,,0,,,,2,6,,,,,5,,1,,,,,,,,,,,,,
01,Barrington,01103,Primrose Hill School,E,English Learners,3Program Status,LEP,,,-1,3,11,100%,45,64,,9.1,,11,100%,45,64,,9.1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,19,,,,35,3,0.0,3,,0,,,,1,3,,,,,,,,,,,,,,,,,,,,
01,Barrington,01104,Nayatt School,E,All Students,,All,,,0,3,185,100%,72,80,3,15.1,3,185,100%,64,75,3,12.4,3,71,,61,71,3,,,,,,,16,100%,88%,1.02,,,,,,,,,,,,,,359,4.2,3,23,20.8,0.0,3,359,1,0.0,3,0,3,9,,,5,15,5,,,,5,5,,5,Achievement,5,Achievement,5,Achievement,5,Achievement,5,Achievement,5,Achievement,0
