DISTCODE,DistName,GeoCode,name,grade_span,sch_star_level,GroupCode,Group,TSI_reason,num_students_ach_ela,participation_rate_ela,pct_prof_ela,proficiency_index_ela,ela_ach_pts,num_students_ach_mat,participation_rate_mat,pct_prof_mat,proficiency_index_mat,mat_ach_pts,num_students_sci,participation_rate_sci,pct_prof_sci,proficiency_index_sci,sci_ach_pts,denom_growth_ela,growth_index_ela,ela_growth_pts,denom_growth_mat,growth_index_mat,mat_growth_pts,years_incl_grad_base,grad_base_denom,grad_base_rate,grad_pts
District Code,District,School Code,School,Grade Span,School Star Rating,Group,Group Code,TSI Reason,Num Students ELA Ach.,ELA Participation Rate,ELA % Prof.,ELA Prof. Index,ELA Ach. Points (out of 4),Num Students Math,Math Participation Rate,Math % Prof.,Math Prof. Index,Math Ach. Points (out of 4),Num Students Science,Science Participation Rate,Science % Prof.,Science Prof. Index,Science Points (out of 3),Growth Denom ELA,ELA Growth Index,ELA Growth Points (out of 3),Growth Denom Math,Math Growth Index,Math Growth Points (out of 3),Years Incl. in Base Grad Rate,Base Grad Denom,Base Grad Rate,Graduation Points (out of 5)
03,Burrillville,03,Burrillville,S,3,IEP,Students with Disabilities,Graduation,462,98%,6,18,1,461,98%,8,22,1,177,95%,6,21,1,336,0.88,2,340,0.87,2,1,27,59%,1
03,Burrillville,03,Burrillville,S,3,LEP,English Learners,Achievement,21,100%,5,19,1,21,100%,5,22,1,11,100%,9,24,,17,0.82,,18,0.72,,,2,,
03,Burrillville,03105,Steere Farm Elementary School,E,3,HI7,Hispanic,Achievement,25,100%,20,39,1,25,100%,32,39,1,8,,,,,16,0.75,,16,0.88,,,,,
03,Burrillville,03107,William L. Callahan School,E,3,HI7,Hispanic,Achievement,27,100%,15,33,1,27,100%,19,38,1,12,100%,8,22,,18,0.89,,19,0.84,,,,,
03,Burrillville,03108,Austin T. Levy School,E,3,IEP,Students with Disabilities,Achievement,24,,8,24,1,24,,17,32,1,,,,,,,,,,,,,,,
03,Burrillville,03109,Burrillville High School,H,2,FRL,Economically Disadvantaged,Achievement & Growth,92,98%,31,38,1,92,98%,10,20,1,93,91%,12,31,1,85,0.71,1,85,0.76,1,1,71,83%,3
03,Burrillville,03109,Burrillville High School,H,2,HI7,Hispanic,Achievement & Growth,20,100%,30,35,1,20,100%,15,23,1,20,95%,16,35,1,20,0.75,1,20,0.75,1,3,20,95%,5
03,Burrillville,03109,Burrillville High School,H,2,IEP,Students with Disabilities,Achievement & Growth,47,96%,7,15,1,47,96%,4,9,1,47,87%,4,18,1,42,0.60,1,42,0.83,1,1,21,71%,2
04,Central Falls,04,Central Falls,S,1,AM7,American Indian or Alaska Native,Graduation,229,97%,5,19,1,227,98%,8,24,1,81,98%,4,20,1,160,0.86,2,178,0.92,2,2,43,49%,1
04,Central Falls,04,Central Falls,S,1,FRL,Economically Disadvantaged,Graduation,2091,99%,8,20,1,2084,98%,7,21,1,930,98%,8,24,1,1549,0.84,1,1686,0.92,2,1,204,59%,1
04,Central Falls,04,Central Falls,S,1,HI7,Hispanic,Graduation,977,99%,9,21,1,973,98%,8,23,1,470,98%,10,27,1,744,0.89,2,802,0.95,2,1,108,54%,1
04,Central Falls,04,Central Falls,S,1,IEP,Students with Disabilities,Graduation,430,97%,1,5,1,428,98%,2,8,1,167,96%,1,10,1,295,0.65,1,298,0.85,2,1,47,49%,1
04,Central Falls,04,Central Falls,S,1,LEP,English Learners,Graduation,1231,99%,4,14,1,1226,99%,7,20,1,544,98%,5,21,1,864,0.83,1,1010,0.91,2,1,107,64%,1
04,Central Falls,04,Central Falls,S,1,MU7,Two or More Races,"Achievement & Growth, Graduation",79,99%,10,25,1,79,99%,6,21,1,25,100%,8,24,1,50,0.82,1,58,0.83,1,3,21,52%,1
04,Central Falls,04,Central Falls,S,1,WH7,White,Graduation,522,99%,7,18,1,521,99%,6,19,1,224,98%,7,22,1,378,0.83,1,418,0.88,2,1,49,61%,1
04,Central Falls,04106,Veterans Memorial Elementary,E,2,IEP,Students with Disabilities,Achievement & Growth,90,100%,0,6,1,90,100%,1,9,1,28,100%,0,6,1,49,0.76,1,52,0.77,1,,,,
04,Central Falls,04108,Central Falls Senior High School,H,1,AM7,American Indian or Alaska Native,"Achievement, Graduation",23,87%,5,8,1,23,87%,0,3,1,21,90%,0,25,1,17,0.47,,19,0.79,,2,43,49%,1
04,Central Falls,04108,Central Falls Senior High School,H,1,BL7,Black or African American,Achievement & Growth,74,96%,4,9,1,74,96%,0,5,1,74,96%,8,29,1,62,0.52,1,66,0.64,1,1,25,80%,2
04,Central Falls,04108,Central Falls Senior High School,H,1,FRL,Economically Disadvantaged,"Achievement & Growth, Graduation",353,96%,11,16,1,353,96%,3,9,1,347,96%,11,33,1,288,0.60,1,310,0.68,1,1,193,63%,1
04,Central Falls,04108,Central Falls Senior High School,H,1,HI7,Hispanic,"Achievement & Growth, Graduation",188,96%,16,22,1,188,96%,5,13,1,186,96%,15,37,1,152,0.75,1,163,0.75,1,1,100,58%,1
04,Central Falls,04108,Central Falls Senior High School,H,1,IEP,Students with Disabilities,"Achievement & Growth, Graduation",48,96%,0,1,1,48,96%,0,1,1,49,94%,0,17,1,32,0.44,1,33,0.61,1,1,44,52%,1
04,Central Falls,04108,Central Falls Senior High School,H,1,LEP,English Learners,"Achievement & Growth, Graduation",207,97%,4,6,1,207,97%,1,4,1,205,94%,4,27,1,164,0.59,1,187,0.61,1,1,105,65%,1
04,Central Falls,04108,Central Falls Senior High School,H,1,MU7,Two or More Races,Graduation,6,,,,,6,,,,,6,,,,,6,,,6,,,3,20,55%,1
04,Central Falls,04108,Central Falls Senior High School,H,1,WH7,White,"Achievement & Growth, Graduation",84,98%,6,11,1,84,96%,2,5,1,81,96%,5,27,1,69,0.52,1,75,0.55,1,1,48,63%,1
04,Central Falls,04112,Raices Dual Language Academy at Margaret I. Robert,E,2,AM7,American Indian or Alaska Native,Achievement,27,93%,15,33,1,26,100%,8,33,1,5,,,,,16,0.94,,17,0.47,,,,,
06,Coventry,06,Coventry,S,3,FRL,Economically Disadvantaged,Graduation,1399,98%,28,43,2,1396,98%,26,42,2,570,97%,30,46,2,1102,0.91,2,1105,0.90,2,1,113,66%,1
06,Coventry,06,Coventry,S,3,IEP,Students with Disabilities,Graduation,721,97%,7,18,1,720,98%,10,23,1,293,96%,11,26,1,533,0.78,1,537,0.86,2,1,56,57%,1
06,Coventry,06109,Western Coventry School,E,3,IEP,Students with Disabilities,Achievement & Growth,45,100%,4,10,1,44,100%,7,23,1,9,,,,,22,0.64,1,22,0.64,1,,,,
06,Coventry,06112,Hopkins Hill School,E,2,IEP,Students with Disabilities,Achievement & Growth,73,99%,4,21,1,73,97%,15,31,1,23,96%,14,27,1,44,0.66,1,44,0.41,1,,,,
06,Coventry,06116,Tiogue School,E,3,IEP,Students with Disabilities,Achievement & Growth,70,100%,13,25,1,69,100%,14,27,1,17,100%,0,8,,41,0.66,1,41,0.56,1,,,,
